"","report_date","trans_date","Ticker","Representative","Transaction","Amount","House","Range","report_lag","overdue","DNR","first_name","last_name","party"
"1",2021-12-17,2021-11-18,"A","Peter Welch","Sale",1001,"Representatives","$1,001-$15,000",29,0,0,"Peter","Welch","D"
"2",2021-03-16,2021-02-16,"A","Peter Meijer","Sale",1001,"Representatives","$1,001-$15,000",28,0,0,"Peter","Meijer","R"
"3",2020-05-05,2020-04-09,"A","Peter Welch","Sale",1001,"Representatives","$1,001-$15,000",26,0,0,"Peter","Welch","D"
"4",2019-06-04,2019-05-23,"A","Peter Welch","Purchase",1001,"Representatives","$1,001-$15,000",12,0,0,"Peter","Welch","D"
"5",2018-06-11,2018-05-16,"A","Lamar Smith","Purchase",1001,"Representatives","$1,001-$15,000",26,0,0,"Lamar","Smith","R"
"6",2018-05-08,2018-04-13,"A","Lamar Smith","Purchase",1001,"Representatives","$1,001-$15,000",25,0,0,"Lamar","Smith","R"
"7",2016-10-20,2016-09-13,"A","James Inhofe","Sale",50001,"Senate","$50,001 - $100,000",37,0,0,"James","Inhofe","R"
"8",2021-11-10,2021-10-18,"AA","Tommy Tuberville","Sale",100001,"Senate","$100,001 - $250,000",23,0,0,"Tommy","Tuberville","R"
"9",2021-11-10,2021-10-15,"AA","Tommy Tuberville","Sale",1001,"Senate","$1,001 - $15,000",26,0,0,"Tommy","Tuberville","R"
"10",2021-08-13,2021-07-29,"AA","Tommy Tuberville","Purchase",1001,"Senate","$1,001 - $15,000",15,0,0,"Tommy","Tuberville","R"
"11",2021-08-13,2021-07-19,"AA","Tommy Tuberville","Sale",50001,"Senate","$50,001 - $100,000",25,0,0,"Tommy","Tuberville","R"
"12",2021-07-23,2021-04-19,"AA","Tommy Tuberville","Sale",50001,"Senate","$50,001 - $100,000",95,50,0,"Tommy","Tuberville","R"
"13",2021-07-23,2021-03-16,"AA","Tommy Tuberville","Sale",15001,"Senate","$15,001 - $50,000",129,84,0,"Tommy","Tuberville","R"
"14",2021-07-23,2021-03-16,"AA","Tommy Tuberville","Sale",15001,"Senate","$15,001 - $50,000",129,84,0,"Tommy","Tuberville","R"
"15",2021-07-23,2021-03-16,"AA","Tommy Tuberville","Purchase",1001,"Senate","$1,001 - $15,000",129,84,0,"Tommy","Tuberville","R"
"16",2021-07-23,2021-03-16,"AA","Tommy Tuberville","Purchase",100001,"Senate","$100,001 - $250,000",129,84,0,"Tommy","Tuberville","R"
"17",2021-07-23,2021-01-06,"AA","Tommy Tuberville","Sale",1001,"Senate","$1,001 - $15,000",198,153,0,"Tommy","Tuberville","R"
