"","report_date","trans_date","Ticker","Representative","Transaction","Amount","House","Range","report_lag","overdue","DNR","first_name","last_name","party"
"18",2021-07-23,2021-01-06,"AA","Tommy Tuberville","Purchase",15001,"Senate","$15,001 - $50,000",198,153,0,"Tommy","Tuberville","R"
"19",2021-07-23,2021-01-06,"AA","Tommy Tuberville","Purchase",15001,"Senate","$15,001 - $50,000",198,153,0,"Tommy","Tuberville","R"
"20",2021-07-23,2021-01-06,"AA","Tommy Tuberville","Sale",1001,"Senate","$1,001 - $15,000",198,153,0,"Tommy","Tuberville","R"
"21",2021-07-23,2021-01-06,"AA","Tommy Tuberville","Sale",1001,"Senate","$1,001 - $15,000",198,153,0,"Tommy","Tuberville","R"
"22",2020-05-01,2020-04-13,"AA","Kelly Loeffler","Sale",15001,"Senate","$15,001 - $50,000",18,0,0,"Kelly","Loeffler","R"
"23",2021-10-05,2021-10-04,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",1,0,0,"Pat","Fallon","R"
"24",2021-11-04,2021-10-04,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",31,0,0,"Pat","Fallon","R"
"25",2021-09-03,2021-08-10,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",24,0,0,"Pat","Fallon","R"
"26",2021-09-03,2021-08-10,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",24,0,0,"Pat","Fallon","R"
"27",2021-07-02,2021-06-24,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",8,0,0,"Pat","Fallon","R"
"28",2021-07-02,2021-06-24,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",8,0,0,"Pat","Fallon","R"
"29",2021-07-02,2021-05-26,"AAL","Pat Fallon","Purchase",50001,"Representatives","$50,001-$100,000",37,0,0,"Pat","Fallon","R"
"30",2021-07-02,2021-05-26,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",37,0,0,"Pat","Fallon","R"
"31",2021-07-02,2021-05-26,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",37,0,0,"Pat","Fallon","R"
"32",2021-07-02,2021-05-24,"AAL","Pat Fallon","Sale",100001,"Representatives","$100,001-250,000",39,0,0,"Pat","Fallon","R"
"33",2021-06-17,2021-04-20,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",58,13,0,"Pat","Fallon","R"
"34",2021-06-17,2021-04-20,"AAL","Pat Fallon","Purchase",100001,"Representatives","$100,001-250,000",58,13,0,"Pat","Fallon","R"
"35",2021-06-17,2021-04-20,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",58,13,0,"Pat","Fallon","R"
"36",2021-03-28,2021-03-24,"AAL","Mark Green","Purchase",1001,"Representatives","$1,001-$15,000",4,0,0,"Mark","Green","R"
"37",2021-04-15,2021-03-24,"AAL","Mark Green","Purchase",1001,"Representatives","$1,001-$15,000",22,0,0,"Mark","Green","R"
"38",2021-06-17,2021-03-23,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",86,41,0,"Pat","Fallon","R"
"39",2021-06-17,2021-03-23,"AAL","Pat Fallon","Purchase",100001,"Representatives","$100,001-250,000",86,41,0,"Pat","Fallon","R"
"40",2021-06-17,2021-03-22,"AAL","Pat Fallon","Sale",100001,"Representatives","$100,001-250,000",87,42,0,"Pat","Fallon","R"
"41",2021-04-02,2021-03-18,"AAL","Mike Simpson","Purchase",1001,"Representatives","$1,001-$15,000",15,0,0,"Mike","Simpson","R"
"42",2021-03-28,2021-03-16,"AAL","Mark Green","Purchase",1001,"Representatives","$1,001-$15,000",12,0,0,"Mark","Green","R"
"43",2021-06-17,2021-02-23,"AAL","Pat Fallon","Purchase",100001,"Representatives","$100,001-250,000",114,69,0,"Pat","Fallon","R"
"44",2021-06-17,2021-02-23,"AAL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",114,69,0,"Pat","Fallon","R"
"45",2021-02-13,2021-01-05,"AAL","Dean Phillips","Sale",1001,"Representatives","$1,001-$15,000",39,0,0,"Dean","Phillips","D"
"46",2021-01-09,2020-12-18,"AAL","Dean Phillips","Purchase",1001,"Representatives","$1,001-$15,000",22,0,0,"Dean","Phillips","D"
"47",2020-12-21,2020-12-10,"AAL","Mike Garcia","Sale",15001,"Representatives","$15,001-$50,000",11,0,0,"Mike","Garcia","R"
"48",2020-12-15,2020-11-30,"AAL","K. Conaway","Purchase",15001,"Representatives","$15,001-$50,000",15,0,0,"K.","Conaway","R"
"49",2020-11-23,2020-11-09,"AAL","Mike Garcia","Sale",15001,"Representatives","$15,001-$50,000",14,0,0,"Mike","Garcia","R"
"50",2020-11-23,2020-10-26,"AAL","Mike Garcia","Purchase",15001,"Representatives","$15,001-$50,000",28,0,0,"Mike","Garcia","R"
"51",2020-07-16,2020-07-14,"AAL","Kathy Castor","Sale",1001,"Representatives","$1,001-$15,000",2,0,0,"Kathy","Castor","D"
"52",2020-11-23,2020-07-09,"AAL","Mike Garcia","Purchase",15001,"Representatives","$15,001-$50,000",137,92,0,"Mike","Garcia","R"
"53",2020-07-21,2020-06-25,"AAL","Adam Kinzinger","Purchase",1001,"Representatives","$1,001-$15,000",26,0,0,"Adam","Kinzinger","R"
"54",2020-07-21,2020-06-11,"AAL","Adam Kinzinger","Purchase",1001,"Representatives","$1,001-$15,000",40,0,0,"Adam","Kinzinger","R"
"55",2020-07-21,2020-06-09,"AAL","Adam Kinzinger","Purchase",1001,"Representatives","$1,001-$15,000",42,0,0,"Adam","Kinzinger","R"
"56",2020-06-10,2020-06-01,"AAL","Adam Kinzinger","Sale",1001,"Representatives","$1,001-$15,000",9,0,0,"Adam","Kinzinger","R"
"57",2020-06-10,2020-05-26,"AAL","Adam Kinzinger","Purchase",1001,"Representatives","$1,001-$15,000",15,0,0,"Adam","Kinzinger","R"
"58",2020-05-20,2020-05-19,"AAL","Kathy Castor","Purchase",1001,"Representatives","$1,001-$15,000",1,0,0,"Kathy","Castor","D"
"59",2020-06-15,2020-05-13,"AAL","Dean Phillips","Purchase",1001,"Representatives","$1,001-$15,000",33,0,0,"Dean","Phillips","D"
"60",2020-05-07,2020-04-23,"AAL","Adam Kinzinger","Purchase",1001,"Representatives","$1,001-$15,000",14,0,0,"Adam","Kinzinger","R"
"61",2020-05-07,2020-04-23,"AAL","Adam Kinzinger","Sale",1001,"Representatives","$1,001-$15,000",14,0,0,"Adam","Kinzinger","R"
"62",2020-08-18,2020-03-25,"AAL","Jim Langevin","Purchase",1001,"Representatives","$1,001-$15,000",146,101,0,"Jim","Langevin","D"
"63",2020-05-05,2020-03-25,"AAL","Jim Langevin","Purchase",1001,"Representatives","$1,001-$15,000",41,0,0,"Jim","Langevin","D"
"64",2019-09-16,2019-08-13,"AAL","Dean Phillips","Sale",1001,"Representatives","$1,001-$15,000",34,0,0,"Dean","Phillips","D"
"65",2019-07-03,2019-06-24,"AAL","Steve Cohen","Sale",1001,"Representatives","$1,001-$15,000",9,0,0,"Steve","Cohen","D"
"66",2019-02-18,2019-01-04,"AAL","Dean Phillips","Purchase",1001,"Representatives","$1,001-$15,000",45,0,0,"Dean","Phillips","D"
"67",2018-10-18,2018-10-10,"AAL","Judy Chu","Sale",1001,"Representatives","$1,001-$15,000",8,0,0,"Judy","Chu","D"
"68",2020-07-06,2020-06-30,"AAL","Pat Roberts","Purchase",1001,"Senate","$1,001 - $15,000",6,0,0,"Pat","Roberts","R"
"69",2020-07-06,2020-06-04,"AAL","Pat Roberts","Purchase",1001,"Senate","$1,001 - $15,000",32,0,0,"Pat","Roberts","R"
"70",2020-07-06,2020-06-04,"AAL","Pat Roberts","Purchase",1001,"Senate","$1,001 - $15,000",32,0,0,"Pat","Roberts","R"
"71",2020-04-15,2020-03-23,"AAN","David McKinley","Sale",1001,"Representatives","$1,001-$15,000",23,0,0,"David","McKinley","R"
"72",2020-04-15,2020-03-09,"AAN","David McKinley","Sale",1001,"Representatives","$1,001-$15,000",37,0,0,"David","McKinley","R"
"73",2019-08-12,2019-07-18,"AAN","David McKinley","Purchase",1001,"Representatives","$1,001-$15,000",25,0,0,"David","McKinley","R"
"74",2019-08-12,2019-07-17,"AAN","David McKinley","Purchase",15001,"Representatives","$15,001-$50,000",26,0,0,"David","McKinley","R"
"75",2016-04-29,2016-04-04,"AAN","David Perdue","Sale",1001,"Senate","$1,001 - $15,000",25,0,0,"David","Perdue","R"
"76",2019-04-15,2019-03-25,"AAP","Van Taylor","Sale",1001,"Representatives","$1,001-$15,000",21,0,0,"Van","Taylor","R"
"77",2019-04-15,2019-03-18,"AAP","Van Taylor","Purchase",1001,"Representatives","$1,001-$15,000",28,0,0,"Van","Taylor","R"
"78",2018-09-25,2018-08-28,"AAP","Carlos Curbelo","Purchase",1001,"Representatives","$1,001-$15,000",28,0,0,"Carlos","Curbelo","R"
"79",2022-02-13,2022-01-28,"AAPL","Robert Wittman","Purchase",1001,"Representatives","$1,001-$15,000",16,0,0,"Robert","Wittman","R"
"80",2022-02-03,2022-01-21,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",13,0,0,"Blake","Moore","R"
"81",2022-02-08,2021-12-31,"AAPL","Marie Newman","Sale",15001,"Representatives","$15,001-$50,000",39,0,0,"Marie","Newman","D"
"82",2022-01-12,2021-12-30,"AAPL","Nancy Pelosi","Sale",500001,"Representatives","$500,001",13,0,0,"Nancy","Pelosi","D"
"83",2022-01-12,2021-12-30,"AAPL","Nancy Pelosi","Sale",500001,"Representatives","$500,001",13,0,0,"Nancy","Pelosi","D"
"84",2021-12-23,2021-12-22,"AAPL","Bob Gibbs","Purchase",1001,"Representatives","$1,001-$15,000",1,0,0,"Bob","Gibbs","R"
"85",2022-01-10,2021-12-14,"AAPL","Josh Gottheimer","Purchase",1001,"Representatives","$1,001-$15,000",27,0,0,"Josh","Gottheimer","D"
"86",2021-12-10,2021-12-01,"AAPL","Debbie Dingell","Sale",15001,"Representatives","$15,001-$50,000",9,0,0,"Debbie","Dingell","D"
"87",2021-12-08,2021-11-26,"AAPL","Marie Newman","Sale",15001,"Representatives","$15,001-$50,000",12,0,0,"Marie","Newman","D"
"88",2021-12-01,2021-11-18,"AAPL","Thomas Suozzi","Sale",50001,"Representatives","$50,001-$100,000",13,0,0,"Thomas","Suozzi","D"
"89",2021-12-07,2021-11-15,"AAPL","Kim Schrier","Sale",250001,"Representatives","$250,001-$1,000,000",22,0,0,"Kim","Schrier","D"
"90",2021-12-08,2021-10-29,"AAPL","Marie Newman","Purchase",15001,"Representatives","$15,001-$50,000",40,0,0,"Marie","Newman","D"
"91",2021-11-15,2021-10-29,"AAPL","Josh Gottheimer","Purchase",1001,"Representatives","$1,001-$15,000",17,0,0,"Josh","Gottheimer","D"
"92",2021-11-18,2021-10-28,"AAPL","Kim Schrier","Purchase",250001,"Representatives","$250,001-$1,000,000",21,0,0,"Kim","Schrier","D"
"93",2021-11-05,2021-10-19,"AAPL","Thomas Suozzi","Purchase",50001,"Representatives","$50,001-$100,000",17,0,0,"Thomas","Suozzi","D"
"94",2021-10-17,2021-09-10,"AAPL","Pete Sessions","Sale",100001,"Representatives","$100,001-250,000",37,0,0,"Pete","Sessions","R"
"95",2021-09-13,2021-08-19,"AAPL","David McKinley","Sale",1001,"Representatives","$1,001-$15,000",25,0,0,"David","McKinley","R"
"96",2021-09-08,2021-08-13,"AAPL","Marie Newman","Purchase",15001,"Representatives","$15,001-$50,000",26,0,0,"Marie","Newman","D"
"97",2021-08-09,2021-07-28,"AAPL","Josh Gottheimer","Sale",1001,"Representatives","$1,001-$15,000",12,0,0,"Josh","Gottheimer","D"
"98",2021-09-23,2021-07-28,"AAPL","Thomas Suozzi","Sale",1001,"Representatives","$1,001-$15,000",57,12,0,"Thomas","Suozzi","D"
"99",2021-11-12,2021-07-27,"AAPL","Kim Schrier","Purchase",500001,"Representatives","$500,001",108,63,0,"Kim","Schrier","D"
"100",2021-08-06,2021-07-19,"AAPL","John Curtis","Sale",1001,"Representatives","$1,001-$15,000",18,0,0,"John","Curtis","R"
"101",2021-08-18,2021-07-19,"AAPL","Pat Fallon","Sale",250001,"Representatives","$250,001-$1,000,000",30,0,0,"Pat","Fallon","R"
"102",2021-08-05,2021-07-09,"AAPL","Marie Newman","Sale",15001,"Representatives","$15,001-$50,000",27,0,0,"Marie","Newman","D"
"103",2021-08-17,2021-07-06,"AAPL","Sara Jacobs","Sale",100001,"Representatives","$100,001-250,000",42,0,0,"Sara","Jacobs","D"
"104",2021-08-14,2021-07-02,"AAPL","Jim Langevin","Sale",100001,"Representatives","$100,001-250,000",43,0,0,"Jim","Langevin","D"
"105",2021-07-02,2021-06-24,"AAPL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",8,0,0,"Pat","Fallon","R"
"106",2021-07-06,2021-06-22,"AAPL","John Curtis","Sale",1001,"Representatives","$1,001-$15,000",14,0,0,"John","Curtis","R"
"107",2021-07-04,2021-06-18,"AAPL","Donald Beyer","Sale",1001,"Representatives","$1,001-$15,000",16,0,0,"Donald","Beyer","D"
"108",2021-09-23,2021-06-04,"AAPL","Thomas Suozzi","Sale",15001,"Representatives","$15,001-$50,000",111,66,0,"Thomas","Suozzi","D"
"109",2021-09-23,2021-06-03,"AAPL","Thomas Suozzi","Purchase",50001,"Representatives","$50,001-$100,000",112,67,0,"Thomas","Suozzi","D"
"110",2021-06-11,2021-05-12,"AAPL","Marjorie Greene","Purchase",15001,"Representatives","$15,001-$50,000",30,0,0,"Marjorie","Greene","R"
"111",2021-07-17,2021-05-11,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",67,22,0,"Blake","Moore","R"
"112",2021-09-23,2021-05-05,"AAPL","Thomas Suozzi","Sale",1001,"Representatives","$1,001-$15,000",141,96,0,"Thomas","Suozzi","D"
"113",2021-07-17,2021-04-30,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",78,33,0,"Blake","Moore","R"
"114",2021-06-17,2021-04-20,"AAPL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",58,13,0,"Pat","Fallon","R"
"115",2021-06-17,2021-04-20,"AAPL","Pat Fallon","Purchase",250001,"Representatives","$250,001-$1,000,000",58,13,0,"Pat","Fallon","R"
"116",2021-06-17,2021-04-19,"AAPL","Pat Fallon","Sale",250001,"Representatives","$250,001-$1,000,000",59,14,0,"Pat","Fallon","R"
"117",2021-06-17,2021-04-19,"AAPL","Pat Fallon","Sale",500001,"Representatives","$500,001",59,14,0,"Pat","Fallon","R"
"118",2021-04-05,2021-03-31,"AAPL","Ashley Hinson","Sale",1001,"Representatives","$1,001-$15,000",5,0,0,"Ashley","Hinson","R"
"119",2021-07-17,2021-03-26,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",113,68,0,"Blake","Moore","R"
"120",2021-06-17,2021-03-23,"AAPL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",86,41,0,"Pat","Fallon","R"
"121",2021-06-17,2021-03-23,"AAPL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",86,41,0,"Pat","Fallon","R"
"122",2021-04-21,2021-03-22,"AAPL","Josh Gottheimer","Sale",1001,"Representatives","$1,001-$15,000",30,0,0,"Josh","Gottheimer","D"
"123",2021-04-21,2021-03-15,"AAPL","Josh Gottheimer","Sale",1001,"Representatives","$1,001-$15,000",37,0,0,"Josh","Gottheimer","D"
"124",2021-04-09,2021-03-08,"AAPL","Jim Langevin","Purchase",1001,"Representatives","$1,001-$15,000",32,0,0,"Jim","Langevin","D"
"125",2021-07-17,2021-03-04,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",135,90,0,"Blake","Moore","R"
"126",2021-04-09,2021-03-04,"AAPL","Jim Langevin","Purchase",1001,"Representatives","$1,001-$15,000",36,0,0,"Jim","Langevin","D"
"127",2021-07-17,2021-03-04,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",135,90,0,"Blake","Moore","R"
"128",2021-07-17,2021-02-25,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",142,97,0,"Blake","Moore","R"
"129",2021-07-17,2021-02-24,"AAPL","Blake Moore","Purchase",1001,"Representatives","$1,001-$15,000",143,98,0,"Blake","Moore","R"
"130",2021-06-17,2021-02-23,"AAPL","Pat Fallon","Purchase",100001,"Representatives","$100,001-250,000",114,69,0,"Pat","Fallon","R"
"131",2021-06-17,2021-02-23,"AAPL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",114,69,0,"Pat","Fallon","R"
"132",2021-06-17,2021-02-22,"AAPL","Pat Fallon","Sale",1001,"Representatives","$1,001-$15,000",115,70,0,"Pat","Fallon","R"
"133",2021-06-17,2021-02-22,"AAPL","Pat Fallon","Purchase",100001,"Representatives","$100,001-250,000",115,70,0,"Pat","Fallon","R"
"134",2021-03-16,2021-02-16,"AAPL","Peter Meijer","Sale",100001,"Representatives","$100,001-250,000",28,0,0,"Peter","Meijer","R"
"135",2021-04-15,2021-02-08,"AAPL","Marie Newman","Purchase",1001,"Representatives","$1,001-$15,000",66,21,0,"Marie","Newman","D"
"136",2021-04-15,2021-02-05,"AAPL","Marie Newman","Purchase",1001,"Representatives","$1,001-$15,000",69,24,0,"Marie","Newman","D"
"137",2021-04-15,2021-02-04,"AAPL","Marie Newman","Sale",15001,"Representatives","$15,001-$50,000",70,25,0,"Marie","Newman","D"
"138",2021-04-21,2021-01-29,"AAPL","Marie Newman","Purchase",15001,"Representatives","$15,001-$50,000",82,37,0,"Marie","Newman","D"
"139",2021-04-15,2021-01-29,"AAPL","Marie Newman","Purchase",15001,"Representatives","$15,001-$50,000",76,31,0,"Marie","Newman","D"
"140",2021-02-13,2021-01-22,"AAPL","Marie Newman","Sale",1001,"Representatives","$1,001-$15,000",22,0,0,"Marie","Newman","D"
"141",2021-02-19,2021-01-20,"AAPL","Marjorie Greene","Sale",15001,"Representatives","$15,001-$50,000",30,0,0,"Marjorie","Greene","R"
"142",2021-02-19,2021-01-20,"AAPL","Marjorie Greene","Sale",1001,"Representatives","$1,001-$15,000",30,0,0,"Marjorie","Greene","R"
"143",2021-06-17,2021-01-19,"AAPL","Pat Fallon","Sale",15001,"Representatives","$15,001-$50,000",149,104,0,"Pat","Fallon","R"
"144",2021-06-17,2021-01-19,"AAPL","Pat Fallon","Purchase",500001,"Representatives","$500,001",149,104,0,"Pat","Fallon","R"
"145",2021-02-04,2021-01-15,"AAPL","Kathy Manning","Sale",1001,"Representatives","$1,001-$15,000",20,0,0,"Kathy","Manning","D"
"146",2021-02-17,2021-01-15,"AAPL","Jim Langevin","Purchase",100001,"Representatives","$100,001-250,000",33,0,0,"Jim","Langevin","D"
"147",2021-02-04,2021-01-15,"AAPL","Kathy Manning","Sale",1001,"Representatives","$1,001-$15,000",20,0,0,"Kathy","Manning","D"
"148",2021-02-13,2021-01-11,"AAPL","Marie Newman","Purchase",1001,"Representatives","$1,001-$15,000",33,0,0,"Marie","Newman","D"
"149",2021-02-17,2021-01-04,"AAPL","Chris Jacobs","Sale",1001,"Representatives","$1,001-$15,000",44,0,0,"Chris","Jacobs","R"
"150",2021-01-01,2020-12-16,"AAPL","Donald Beyer","Sale",1001,"Representatives","$1,001-$15,000",16,0,0,"Donald","Beyer","D"
"151",2020-12-21,2020-12-10,"AAPL","Mike Garcia","Sale",15001,"Representatives","$15,001-$50,000",11,0,0,"Mike","Garcia","R"
"152",2020-12-02,2020-11-24,"AAPL","Mike Garcia","Purchase",15001,"Representatives","$15,001-$50,000",8,0,0,"Mike","Garcia","R"
"153",2021-09-23,2020-11-24,"AAPL","Thomas Suozzi","Sale",50001,"Representatives","$50,001-$100,000",303,258,0,"Thomas","Suozzi","D"
"154",2020-12-09,2020-11-20,"AAPL","Joe Morelle","Sale",1001,"Representatives","$1,001-$15,000",19,0,0,"Joe","Morelle","D"
"155",2020-12-15,2020-11-19,"AAPL","Gilbert Cisneros","Purchase",15001,"Representatives","$15,001-$50,000",26,0,0,"Gilbert","Cisneros","D"
"156",2020-12-01,2020-11-17,"AAPL","Donald Beyer","Purchase",1001,"Representatives","$1,001-$15,000",14,0,0,"Donald","Beyer","D"
"157",2020-12-28,2020-11-10,"AAPL","Katherine Clark","Sale",1001,"Representatives","$1,001-$15,000",48,3,0,"Katherine","Clark","D"
"158",2020-12-10,2020-11-06,"AAPL","Nancy Pelosi","Sale",500001,"Representatives","$500,001",34,0,0,"Nancy","Pelosi","D"
"159",2020-12-28,2020-11-05,"AAPL","Katherine Clark","Sale",1001,"Representatives","$1,001-$15,000",53,8,0,"Katherine","Clark","D"
"160",2020-12-01,2020-11-04,"AAPL","Donald Beyer","Purchase",1001,"Representatives","$1,001-$15,000",27,0,0,"Donald","Beyer","D"
"161",2020-11-17,2020-10-30,"AAPL","Jim Langevin","Purchase",1001,"Representatives","$1,001-$15,000",18,0,0,"Jim","Langevin","D"
"162",2020-11-05,2020-10-29,"AAPL","Gilbert Cisneros","Purchase",15001,"Representatives","$15,001-$50,000",7,0,0,"Gilbert","Cisneros","D"
"163",2020-12-03,2020-10-22,"AAPL","Katherine Clark","Sale",1001,"Representatives","$1,001-$15,000",42,0,0,"Katherine","Clark","D"
"164",2020-12-03,2020-10-22,"AAPL","Katherine Clark","Sale",1001,"Representatives","$1,001-$15,000",42,0,0,"Katherine","Clark","D"
"165",2020-11-16,2020-10-16,"AAPL","Joe Courtney","Sale",1001,"Representatives","$1,001-$15,000",31,0,0,"Joe","Courtney","D"
"166",2020-12-04,2020-10-16,"AAPL","K. Conaway","Purchase",15001,"Representatives","$15,001-$50,000",49,4,0,"K.","Conaway","R"
"167",2020-12-04,2020-10-16,"AAPL","K. Conaway","Purchase",15001,"Representatives","$15,001-$50,000",49,4,0,"K.","Conaway","R"
"168",2020-11-09,2020-10-09,"AAPL","Lloyd Smucker","Sale",15001,"Representatives","$15,001-$50,000",31,0,0,"Lloyd","Smucker","R"
"169",2020-10-09,2020-09-23,"AAPL","Dean Phillips","Purchase",1001,"Representatives","$1,001-$15,000",16,0,0,"Dean","Phillips","D"
"170",2020-10-13,2020-09-15,"AAPL","Josh Gottheimer","Purchase",1001,"Representatives","$1,001-$15,000",28,0,0,"Josh","Gottheimer","D"
"171",2020-10-05,2020-09-08,"AAPL","K. Conaway","Sale",15001,"Representatives","$15,001-$50,000",27,0,0,"K.","Conaway","R"
"172",2020-11-06,2020-09-08,"AAPL","Chris Jacobs","Sale",15001,"Representatives","$15,001-$50,000",59,14,0,"Chris","Jacobs","R"
"173",2020-10-05,2020-09-08,"AAPL","K. Conaway","Sale",15001,"Representatives","$15,001-$50,000",27,0,0,"K.","Conaway","R"
"174",2020-11-15,2020-09-04,"AAPL","John Yarmuth","Sale",1001,"Representatives","$1,001-$15,000",72,27,0,"John","Yarmuth","D"
"175",2020-09-15,2020-09-03,"AAPL","Alan Lowenthal","Sale",1001,"Representatives","$1,001-$15,000",12,0,0,"Alan","Lowenthal","D"
"176",2020-09-15,2020-09-03,"AAPL","Alan Lowenthal","Sale",616.59,"Representatives","$616.59",12,0,0,"Alan","Lowenthal","D"
"177",2020-09-09,2020-09-02,"AAPL","Bob Gibbs","Purchase",1001,"Representatives","$1,001-$15,000",7,0,0,"Bob","Gibbs","R"
"178",2020-10-13,2020-09-01,"AAPL","Josh Gottheimer","Sale",1001,"Representatives","$1,001-$15,000",42,0,0,"Josh","Gottheimer","D"
"179",2020-09-03,2020-08-28,"AAPL","David McKinley","Sale",15001,"Representatives","$15,001-$50,000",6,0,0,"David","McKinley","R"
"180",2020-09-02,2020-08-20,"AAPL","Debbie Dingell","Sale",15001,"Representatives","$15,001-$50,000",13,0,0,"Debbie","Dingell","D"
"181",2020-09-02,2020-08-20,"AAPL","Debbie Dingell","Sale",15001,"Representatives","$15,001-$50,000",13,0,0,"Debbie","Dingell","D"
"182",2020-08-27,2020-08-07,"AAPL","Joe Courtney","Sale",1001,"Representatives","$1,001-$15,000",20,0,0,"Joe","Courtney","D"
"183",2020-09-29,2020-07-24,"AAPL","Ed Perlmutter","Purchase",1001,"Representatives","$1,001-$15,000",67,22,0,"Ed","Perlmutter","D"
"184",2020-08-10,2020-07-23,"AAPL","Josh Gottheimer","Sale",1001,"Representatives","$1,001-$15,000",18,0,0,"Josh","Gottheimer","D"
"185",2020-11-09,2020-07-22,"AAPL","Lloyd Smucker","Sale",1001,"Representatives","$1,001-$15,000",110,65,0,"Lloyd","Smucker","R"
"186",2020-08-09,2020-07-14,"AAPL","Donald Beyer","Sale",15001,"Representatives","$15,001-$50,000",26,0,0,"Donald","Beyer","D"
"187",2020-09-04,2020-07-01,"AAPL","K. Conaway","Purchase",15001,"Representatives","$15,001-$50,000",65,20,0,"K.","Conaway","R"
"188",2020-08-07,2020-06-29,"AAPL","William Timmons","Sale",1001,"Representatives","$1,001-$15,000",39,0,0,"William","Timmons","R"
"189",2020-07-09,2020-06-26,"AAPL","Josh Gottheimer","Purchase",1001,"Representatives","$1,001-$15,000",13,0,0,"Josh","Gottheimer","D"
