"","AA","AAPL","ACN","ADP","ALGN","ALLE","AME","AON","APAM","APD","ATHM","AWK","BDX","CALX","FTNT","FUN","GD","GE","GGG","GILD","GNRC","GNTX","GOLD","GOOGL","HON","HSY","IBM","IDXX","IEX","INTC","INTU","JNJ","KEYS","KLAC","KO","LLY","LMT","MA","MDT","MMM","MPWR","MRK","MSFT","NDSN","NEE","NFLX","NTES","NVDA","NWL","ODFL","PEGA","PFE","PG","QCOM","RTX","SEIC","SQ","SWKS","CASH"
"1",28168.846365,8985.834067,3865.257396,360.24414,0,0,0,254.806068,371.13652,0,341.770814,4956.735796,8573.766831,1000.84,151.15,13712.237274,8516.240136,31079.27331,0,1040.875277,0,0,0,0,345.963836,0,0,0,0,3305.63452,178.884262,510.568086,0,0,0,4401.359962,7270.7318,182.549224,9621.862416,0,0,540.512154,1930.060236,238.489256,4021.21926,0,283.933242,601.2493,2326.864507,0,988.699755,0,5497.919616,11165.01867,519.53796,0,0,0,105671.673219
"2",26892.4044,8760.654875,3885.375858,361.12213,0,0,0,256.351044,371.34716,0,346.58151,4942.766516,8601.00444,961.54,149.2,13609.12005,8551.913256,31109.631236,0,1054.150617,0,0,0,0,348.79706,0,0,0,0,3290.074445,181.86,512.702178,0,0,0,4467.218673,7442.94188,182.895828,9649.801728,0,0,547.412801,1938.8655,234.9505,4060.43388,0,286.803675,610.907912,2325.793847,0,993.449445,0,5515.456968,10946.70774,520.35347,0,0,0,105671.673219
"3",24977.734704,8589.213178,3877.784148,356.68873,0,0,0,252.474519,364.3943,0,337.815423,4921.401632,8515.237878,952.37,147.5,13606.664772,8465.542632,30613.744572,0,1065.195131,0,0,0,0,344.850768,0,0,0,0,3217.1342,182.50441,510.110736,0,0,0,4439.067966,7421.45936,180.098404,9676.46664,0,0,539.894342,1903.645536,228.6259,4047.23214,0,286.490205,585.646728,2261.51532,0,983.219056,0,5462.1399,10835.32491,506.21933,0,0,0,105671.673219
"4",23991.387441,8226.706852,3763.90938,345.802765,0,0,0,248.794806,340.48062,0,329.904553,4884.42352,8375.578722,909.14,145.85,13363.603698,8186.404752,29318.346578,0,1022.183812,0,0,0,0,334.69818,0,0,0,0,3096.540485,179.55748,504.165618,0,0,0,4323.817128,7273.45888,176.799316,9449.158464,0,0,535.156518,1837.431492,222.602524,4065.09282,0,272.798325,562.42888,2160.277181,0,939.009014,0,5414.43546,10278.41373,499.58721,0,0,0,105671.673219
"5",23411.185767,8270.208828,3727.46955,342.94964,0,0,0,244.44081,334.58118,0,328.514769,4903.322988,8249.825745,990.36,143.050005,13142.632494,8148.225024,28792.099506,0,1024.3077,0,0,0,0,331.999848,0,0,0,0,3064.44709,177.08574,498.779616,0,0,0,4315.319523,7260.50108,173.42308,9369.157104,0,0,526.0931,1843.067031,217.82144,4083.3405,0,269.647515,550.355596,2109.390346,0,909.779199,0,5329.551444,10220.4936,491.43284,0,0,0,105671.673219
"6",23208.113586,8404.123504,3766.566762,344.617655,0,0,0,242.727333,332.05284,0,300.078416,4950.984416,8179.706367,1007.39,141.75,12766.989588,8217.071928,28923.659084,0,1024.839023,0,0,0,0,331.966032,0,0,0,0,3117.93589,178.72087,495.781494,0,0,0,4263.269504,7343.70848,174.754302,9270.1044,0,0,527.843914,1842.010287,217.219132,4099.25952,0,261.943776,551.284392,2107.783284,0,906.856088,0,5378.659608,10262.81502,491.97647,0,0,0,105671.673219
"7",21119.384124,8526.09198,3834.131994,348.831595,0,0,0,244.806015,321.41284,0,309.379048,4946.053216,8255.040822,998.22,143.65,12644.231412,8292.178368,28984.383988,0,1031.210882,0,0,0,0,334.49576,0,0,0,0,3178.23315,180.336976,499.185972,0,0,0,4270.174033,7432.7112,176.413482,9706.9428,0,0,533.096707,1858.916007,217.708464,4091.49396,0,265.358502,560.57144,2140.994581,0,921.836389,0,5367.435108,10363.05954,491.97647,0,0,0,105671.673219
"8",20684.229801,8306.88663,3767.705256,339.48189,0,0,0,241.322799,308.13916,0,309.379048,4937.837064,8193.033891,944.51,141.949995,12396.257238,8119.160712,28579.571248,0,982.783217,0,0,0,0,327.513824,0,0,0,0,3103.34791,174.3479,492.986754,0,0,0,4211.751405,7311.31164,172.07257,9479.638944,0,0,521.767324,1818.765234,212.362748,4061.98638,0,260.327124,543.483144,2033.864462,0,886.029787,0,5321.1333,10269.49941,482.89814,0,0,0,105671.673219
"9",21003.34428,8488.563846,3867.154998,346.724665,0,0,0,245.480187,318.35772,0,310.554981,5002.754472,8426.571048,972.02,146.450005,12796.452606,8118.53064,29409.429408,0,987.880985,0,0,0,0,333.045288,0,0,0,0,3184.068595,179.329284,502.488828,0,0,0,4383.832832,7380.19652,175.005082,9497.415888,0,0,533.50856,1870.538163,211.760376,4103.5302,0,269.746542,532.524324,2007.617547,0,891.144963,0,5342.17908,10632.60648,483.87653,0,0,0,105671.673219
"10",20016.99579,8284.70825,3768.084306,342.027855,0,0,0,241.828401,311.40488,0,290.136418,4969.883884,8253.879606,944.51,141.400005,12477.27855,7926.642864,28832.573918,0,975.349219,0,0,0,0,328.053376,0,0,0,0,2894.253645,173.948608,492.88527,0,0,0,4314.78803,7365.53344,171.1465,9386.9352,0,0,526.711016,1795.871727,209.012192,4086.83484,0,255.675204,503.548564,1988.869272,0,882.74156,0,5260.099152,10207.12347,465.50224,0,0,0,105671.673219
