,ReportDate,TransactionDate,Ticker,Representative,Transaction,Amount,House,Range
0,2021-12-17 00:00:00,2021-11-18 00:00:00,A, Peter Welch,Sale,1001.0,Representatives,"$1,001-$15,000"
1,2021-03-16 00:00:00,2021-02-16 00:00:00,A,Mr. Peter Meijer,Sale,1001.0,Representatives,"$1,001-$15,000"
2,2020-05-05 00:00:00,2020-04-09 00:00:00,A, Peter Welch,Sale,1001.0,Representatives,"$1,001-$15,000"
3,2019-06-04 00:00:00,2019-05-23 00:00:00,A, Peter Welch,Purchase,1001.0,Representatives,"$1,001-$15,000"
4,2018-06-11 00:00:00,2018-05-16 00:00:00,A, Lamar Smith,Purchase,1001.0,Representatives,"$1,001-$15,000"
5,2018-05-08 00:00:00,2018-04-13 00:00:00,A, Lamar Smith,Purchase,1001.0,Representatives,"$1,001-$15,000"
6,2016-10-20 00:00:00,2016-09-13 00:00:00,A,James M. Inhofe,Sale,50001.0,Senate,"$50,001 - $100,000"
7,2021-11-10 00:00:00,2021-10-18 00:00:00,AA,Tommy Tuberville,Sale,100001.0,Senate,"$100,001 - $250,000"
8,2021-11-10 00:00:00,2021-10-15 00:00:00,AA,Tommy Tuberville,Sale,1001.0,Senate,"$1,001 - $15,000"
9,2021-08-13 00:00:00,2021-07-29 00:00:00,AA,Tommy Tuberville,Purchase,1001.0,Senate,"$1,001 - $15,000"
10,2021-08-13 00:00:00,2021-07-19 00:00:00,AA,Tommy Tuberville,Sale,50001.0,Senate,"$50,001 - $100,000"
11,2021-07-23 00:00:00,2021-04-19 00:00:00,AA,Tommy Tuberville,Sale,50001.0,Senate,"$50,001 - $100,000"
12,2021-07-23 00:00:00,2021-03-16 00:00:00,AA,Tommy Tuberville,Sale,15001.0,Senate,"$15,001 - $50,000"
13,2021-07-23 00:00:00,2021-03-16 00:00:00,AA,Tommy Tuberville,Sale,15001.0,Senate,"$15,001 - $50,000"
14,2021-07-23 00:00:00,2021-03-16 00:00:00,AA,Tommy Tuberville,Purchase,1001.0,Senate,"$1,001 - $15,000"
15,2021-07-23 00:00:00,2021-03-16 00:00:00,AA,Tommy Tuberville,Purchase,100001.0,Senate,"$100,001 - $250,000"
16,2021-07-23 00:00:00,2021-01-06 00:00:00,AA,Tommy Tuberville,Sale,1001.0,Senate,"$1,001 - $15,000"
17,2021-07-23 00:00:00,2021-01-06 00:00:00,AA,Tommy Tuberville,Purchase,15001.0,Senate,"$15,001 - $50,000"
18,2021-07-23 00:00:00,2021-01-06 00:00:00,AA,Tommy Tuberville,Purchase,15001.0,Senate,"$15,001 - $50,000"
19,2021-07-23 00:00:00,2021-01-06 00:00:00,AA,Tommy Tuberville,Sale,1001.0,Senate,"$1,001 - $15,000"
20,2021-07-23 00:00:00,2021-01-06 00:00:00,AA,Tommy Tuberville,Sale,1001.0,Senate,"$1,001 - $15,000"
21,2020-05-01 00:00:00,2020-04-13 00:00:00,AA,Kelly Loeffler,Sale,15001.0,Senate,"$15,001 - $50,000"
22,2021-10-05 00:00:00,2021-10-04 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
23,2021-11-04 00:00:00,2021-10-04 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
24,2021-09-03 00:00:00,2021-08-10 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
25,2021-09-03 00:00:00,2021-08-10 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
26,2021-07-02 00:00:00,2021-06-24 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
27,2021-07-02 00:00:00,2021-06-24 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
28,2021-07-02 00:00:00,2021-05-26 00:00:00,AAL, Patrick Fallon,Purchase,50001.0,Representatives,"$50,001-$100,000"
29,2021-07-02 00:00:00,2021-05-26 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
30,2021-07-02 00:00:00,2021-05-26 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
31,2021-07-02 00:00:00,2021-05-24 00:00:00,AAL, Patrick Fallon,Sale,100001.0,Representatives,"$100,001-250,000"
32,2021-06-17 00:00:00,2021-04-20 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
33,2021-06-17 00:00:00,2021-04-20 00:00:00,AAL, Patrick Fallon,Purchase,100001.0,Representatives,"$100,001-250,000"
34,2021-06-17 00:00:00,2021-04-20 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
35,2021-03-28 00:00:00,2021-03-24 00:00:00,AAL, Mark Dr Green,Purchase,1001.0,Representatives,"$1,001-$15,000"
36,2021-04-15 00:00:00,2021-03-24 00:00:00,AAL, Mark Dr Green,Purchase,1001.0,Representatives,"$1,001-$15,000"
37,2021-06-17 00:00:00,2021-03-23 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
38,2021-06-17 00:00:00,2021-03-23 00:00:00,AAL, Patrick Fallon,Purchase,100001.0,Representatives,"$100,001-250,000"
39,2021-06-17 00:00:00,2021-03-22 00:00:00,AAL, Patrick Fallon,Sale,100001.0,Representatives,"$100,001-250,000"
40,2021-04-02 00:00:00,2021-03-18 00:00:00,AAL, Michael K. Simpson,Purchase,1001.0,Representatives,"$1,001-$15,000"
41,2021-03-28 00:00:00,2021-03-16 00:00:00,AAL, Mark Dr Green,Purchase,1001.0,Representatives,"$1,001-$15,000"
42,2021-06-17 00:00:00,2021-02-23 00:00:00,AAL, Patrick Fallon,Purchase,100001.0,Representatives,"$100,001-250,000"
43,2021-06-17 00:00:00,2021-02-23 00:00:00,AAL, Patrick Fallon,Sale,1001.0,Representatives,"$1,001-$15,000"
44,2021-02-13 00:00:00,2021-01-05 00:00:00,AAL, Dean Phillips,Sale,1001.0,Representatives,"$1,001-$15,000"
45,2021-01-09 00:00:00,2020-12-18 00:00:00,AAL, Dean Phillips,Purchase,1001.0,Representatives,"$1,001-$15,000"
46,2020-12-21 00:00:00,2020-12-10 00:00:00,AAL, Michael Garcia,Sale,15001.0,Representatives,"$15,001-$50,000"
