"","AA","AAPL","ACN","ADP","ALGN","ALLE","AME","AON","APAM","APD","ATHM","AWK","BDX","CALX","FTNT","FUN","GD","GE","GGG","GILD","GNRC","GNTX","GOLD","GOOGL","HON","HSY","IBM","IDXX","IEX","INTC","INTU","JNJ","KEYS","KLAC","KO","LLY","LMT","MA","MDT","MMM","MPWR","MRK","MSFT","NDSN","NEE","NFLX","NTES","NVDA","NWL","ODFL","PEGA","PFE","PG","QCOM","RTX","SEIC","SQ","SWKS","CASH"
"1",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"2",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"3",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"4",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"5",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"6",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"7",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"8",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"9",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"10",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"11",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
"12",1227,371,42,5,0,0,0,3,20,0,11,92,63,131,5,318,72,146,0,13,0,0,0,0,4,0,0,0,0,115,2,6,0,0,0,61,40,2,144,0,0,13,39,4,180,0,9,76,67,0,37,0,84,270,10,0,0,0,105671.673219
